,datetime,eventid,accountname,clientaddr,servicename,processname,objectname,sharename,securityid
2056,2019-06-02T22:45:42.414Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\ipc$,s-1-5-18
2057,2019-06-02T22:45:42.414Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\sysvol,s-1-5-18
2058,2019-06-02T22:46:11.118Z,4672,dc$,,,,,,
2059,2019-06-02T22:46:26.905Z,4672,dc$,,,,,,
2060,2019-06-02T22:46:26.921Z,4672,dc$,,,,,,
2061,2019-06-02T22:46:40.477Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\ipc$,s-1-5-20
2062,2019-06-02T22:47:05.094Z,5140,anonymous logon,10.0.19.109,,,,\*\ipc$,s-1-5-7
2063,2019-06-02T22:47:11.131Z,4672,dc$,,,,,,
2064,2019-06-02T22:47:17.153Z,5140,anonymous logon,10.0.19.109,,,,\*\ipc$,s-1-5-7
2065,2019-06-02T22:47:49.710Z,4672,dc$,,,,,,
2066,2019-06-02T22:47:49.710Z,4672,dc$,,,,,,
2067,2019-06-02T22:47:49.710Z,4672,dc$,,,,,,
2068,2019-06-02T22:47:49.710Z,4672,dc$,,,,,,
2069,2019-06-02T22:47:49.710Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\sysvol,s-1-5-18
2070,2019-06-02T22:47:50.225Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2071,2019-06-02T22:47:50.225Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2072,2019-06-02T22:47:50.225Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2073,2019-06-02T22:48:11.144Z,4672,dc$,,,,,,
2074,2019-06-02T22:49:11.173Z,4672,dc$,,,,,,
2075,2019-06-02T22:50:11.187Z,4672,dc$,,,,,,
2076,2019-06-02T22:51:11.200Z,4672,dc$,,,,,,
2077,2019-06-02T22:51:27.065Z,4672,dc$,,,,,,
2078,2019-06-02T22:51:27.081Z,4672,dc$,,,,,,
2079,2019-06-02T22:52:11.213Z,4672,dc$,,,,,,
2080,2019-06-02T22:52:50.244Z,4672,dc$,,,,,,
2081,2019-06-02T22:52:53.052Z,4672,dc$,,,,,,
2082,2019-06-02T22:52:53.052Z,4672,dc$,,,,,,
2083,2019-06-02T22:52:53.052Z,4672,dc$,,,,,,
2084,2019-06-02T22:52:53.052Z,4672,dc$,,,,,,
2085,2019-06-02T22:52:53.052Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\ipc$,s-1-5-18
